"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"SUSIE'S","8 DELAWARE AVENUE,  ALBANY","11/06/2025","Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","1","Food Service Establishment - Restaurant","Albany County","ALBANY","8 DELAWARE AVENUE","ALBANY","12210","010100","ALBANY","SUSIE'S","06/30/2026",,"CARRKY CORP.","CARRK","SUZANNE","479491","Inspection","Excellent compliance posted on 11/06/2025.","NY","(42.65211, -73.767692)"
"HIGHLAND PARK CONCESSION","801 HOOPER ROAD,  ENDWELL","06/12/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Broome County","BROOME","801 HOOPER ROAD","ENDWELL","13760","036300","UNION","HIGHLAND PARK CONCESSION","02/28/2026",,"TOWN OF UNION","WHITE","SARAH","256620","Inspection",,"NY","(42.127956, -76.028347)"
"MADAME OARS","584 Upper Court STREET,  BINGHAMTON","06/18/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Food Service Establishment - Tavern","Broome County","BROOME","584 Upper Court STREET","BINGHAMTON","13904","035700","KIRKWOOD","MADAME OARS","03/31/2026",,"ROCKWELL & ASSOC., INC.","BRAUNSTIEN","ED","256851","Inspection",,"NY","(42.104575, -75.855269)"
"MAINE ENDWELL HIGH CONCESSION","750 Farm To Market ROAD,  ENDWELL","09/17/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Broome County","BROOME","750 Farm To Market ROAD","ENDWELL","13760","036300","UNION","MAINE ENDWELL HIGH CONCESSION","08/31/2026",,"M-E ALL SPORT BOOSTER CLUB","KEVIN HORES","FRANK MILLER &","256773","Inspection","Not operating at the time of inspection.","NY","(42.128552, -76.023322)"
"Fredonia Memorial Post #59","156 E Main St,  Fredonia","04/01/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","2","Food Service Establishment - Tavern","Chautauqua County","CHAUTAUQUA","156 E Main St","Fredonia","14063","062900","POMFRET","Fredonia Memorial Post #59","12/31/2026",,"Fredonia Memorial Post #59 Inc","Keith","Douglas","263942","Inspection","Within 30 days of the date of this inspection the refrigerator shelves need refinished, butcher block counter sealed or replaced, and a CPR safety kit obtained.  Sanitizer test strips needed immediately.","NY","(42.44427, -79.323699)"
"CHRISTOPHER'S AT ELDERBERRY POND","3712 CENTER STREET ROAD,  AUBURN","07/30/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Cayuga County","CAYUGA","3712 CENTER STREET ROAD","AUBURN","13021","056600","SENNETT","CHRISTOPHER'S AT ELDERBERRY POND","03/31/2026",,"Christopher's at Elderberry Pond LLC","Lego","Louis","505962","Inspection","UV light appears to be functioning normally.","NY","(42.97129, -76.495253)"
"Red's Best Pancake House","2749 CLYMER SHERMAN ROAD,  SHERMAN","03/01/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Chautauqua County","CHAUTAUQUA","2749 CLYMER SHERMAN ROAD","SHERMAN","14781","063100","SHERMAN","Red's Best Pancake House","03/31/2026",,,"REDLECKI","DARL","535427","Inspection",,"NY","(42.121167, -79.618387)"
"Clapper's Glass Bar, Inc","301 MAIN STREET,  SCHOHARIE","02/28/2025","No violations found.","0","0","0","Food Service Establishment - Tavern","Schoharie County","SCHOHARIE","301 MAIN STREET","SCHOHARIE","12157","472400","SCHOHARIE","CLAPPER'S GLASS BAR","12/31/2026",,"CLAPPER'S GLASS BAR, INC.","CLAPPER","DEBORAH","307163","Inspection","Observed no public health hazards.","NY","(42.6644, -74.311559)"
"HOFSTRA ARENA COMMISSARY","1000 FULTON AVENUE,  HEMPSTEAD","04/23/2024","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","1","Institutional Food Service - College Food Service","Nassau  County","NASSAU","1000 FULTON AVENUE","HEMPSTEAD","11550","299900","NASSAU SCHOOLS","HOFSTRA ARENA COMMISSARY","06/30/2026",,"COMPASS LCS, LLC",,,"717753","Inspection","Inspection ratings: 0/1”A”|Food Permit# F1800302-Expires June 30, 2024","NY","(40.714123, -73.603502)"
"ATHENIAN I-84 DINER","853 ROUTE 52,  FISHKILL","12/31/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","853 ROUTE 52","FISHKILL","12524","135500","FISHKILL","ATHENIAN I-84 DINER","12/31/2025",,"ATHENIAN I-84 DINER CORP","TRIGONIS","ANTHONY","273817","Re-Inspection","Large prep station cole slaw 44F; prep station cheese 42F","NY","(41.526927, -73.917756)"
